Team_name,Points,Emblem_Location
Manchester City,62.5,Icons/Manchester-City.png
Arsenal,56.75,Icons/Arsenal.png
Liverpool,56.3,Icons/Liverpool.png
Manchester United,55.75,Icons/Manchester-United.png
Tottenham Hotspur,53.05,Icons/Tottenham-Hotspur.png
Chelsea,51.9,Icons/Chelsea.png
West Ham United,49.9,Icons/West-Ham-United.png
Norwich City,47.7,Icons/Norwich-City.png
Everton,47.45,Icons/Everton.png
Watford,47.2,Icons/Watford.png
Aston Villa,46.2,Icons/Aston-Villa.png
Brighton and Hove Albion,45.8,Icons/Brighton-and-Hove-Albion.png
AFC Bournemouth,45.75,Icons/AFC-Bournemouth.png
Sheffield United,45.6,Icons/Sheffield-United.png
Newcastle United,45.4,Icons/Newcastle-United.png
Burnley,45.1,Icons/Burnley.png
Wolverhampton Wanderers,44.7,Icons/Wolverhampton-Wanderers.png
Leicester City,43.8,Icons/Leicester-City.png
Crystal Palace,43.65,Icons/Crystal-Palace.png
Southampton,42.85,Icons/Southampton.png
